JobID|JobName|Partition|AllocCPUS|AllocNodes|NCPUS|NNodes|MaxRSS|State|Elapsed
12098571_1|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:20
12098571_1.batch|batch||4|1|4|1|230856K|COMPLETED|00:02:20
12098571_2|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:54
12098571_2.batch|batch||4|1|4|1|235768K|COMPLETED|00:01:54
12098571_3|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:54
12098571_3.batch|batch||4|1|4|1|232188K|COMPLETED|00:01:54
12098571_4|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:53
12098571_4.batch|batch||4|1|4|1|229236K|COMPLETED|00:01:53
12098571_5|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:58
12098571_5.batch|batch||4|1|4|1|232640K|COMPLETED|00:01:58
12098571_6|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:56
12098571_6.batch|batch||4|1|4|1|234544K|COMPLETED|00:01:56
12098571_7|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:07
12098571_7.batch|batch||4|1|4|1|236160K|COMPLETED|00:02:07
12098571_8|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:51
12098571_8.batch|batch||4|1|4|1|234768K|COMPLETED|00:01:51
12098571_9|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:49
12098571_9.batch|batch||4|1|4|1|232488K|COMPLETED|00:01:49
12098571_10|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:58
12098571_10.batch|batch||4|1|4|1|226560K|COMPLETED|00:01:58
12098571_11|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:08
12098571_11.batch|batch||4|1|4|1|227980K|COMPLETED|00:02:08
12098571_12|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:49
12098571_12.batch|batch||4|1|4|1|232764K|COMPLETED|00:01:49
12098571_13|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:51
12098571_13.batch|batch||4|1|4|1|231.50M|COMPLETED|00:01:51
12098571_14|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:52
12098571_14.batch|batch||4|1|4|1|226560K|COMPLETED|00:01:52
12098571_15|render_blender|plgrid|4|1|4|1||COMPLETED|00:01:53
12098571_15.batch|batch||4|1|4|1|226840K|COMPLETED|00:01:53
12098571_16|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:12
12098571_16.batch|batch||4|1|4|1|235136K|COMPLETED|00:02:12
12098571_17|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:08
12098571_17.batch|batch||4|1|4|1|232832K|COMPLETED|00:02:08
12098571_18|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:04
12098571_18.batch|batch||4|1|4|1|229948K|COMPLETED|00:02:04
12098571_19|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:03
12098571_19.batch|batch||4|1|4|1|232432K|COMPLETED|00:02:03
12098571_20|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:09
12098571_20.batch|batch||4|1|4|1|229124K|COMPLETED|00:02:09
12098571_21|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:34
12098571_21.batch|batch||4|1|4|1|235532K|COMPLETED|00:02:34
12098571_22|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:17
12098571_22.batch|batch||4|1|4|1|234480K|COMPLETED|00:02:17
12098571_23|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:24
12098571_23.batch|batch||4|1|4|1|232284K|COMPLETED|00:02:24
12098571_24|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:44
12098571_24.batch|batch||4|1|4|1|233844K|COMPLETED|00:02:44
12098571_25|render_blender|plgrid|4|1|4|1||COMPLETED|00:03:25
12098571_25.batch|batch||4|1|4|1|235052K|COMPLETED|00:03:25
12098571_26|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:45
12098571_26.batch|batch||4|1|4|1|228168K|COMPLETED|00:02:45
12098571_27|render_blender|plgrid|4|1|4|1||COMPLETED|00:02:53
12098571_27.batch|batch||4|1|4|1|232456K|COMPLETED|00:02:53
12098571_28|render_blender|plgrid|4|1|4|1||COMPLETED|00:03:06
12098571_28.batch|batch||4|1|4|1|235076K|COMPLETED|00:03:06
12098571_29|render_blender|plgrid|4|1|4|1||COMPLETED|00:04:02
12098571_29.batch|batch||4|1|4|1|1150300K|COMPLETED|00:04:02
12098571_30|render_blender|plgrid|4|1|4|1||COMPLETED|00:03:36
12098571_30.batch|batch||4|1|4|1|235272K|COMPLETED|00:03:36
12098571_31|render_blender|plgrid|4|1|4|1||COMPLETED|00:03:53
12098571_31.batch|batch||4|1|4|1|233108K|COMPLETED|00:03:53
12098571_32|render_blender|plgrid|4|1|4|1||COMPLETED|00:04:04
12098571_32.batch|batch||4|1|4|1|228916K|COMPLETED|00:04:04
12098571_33|render_blender|plgrid|4|1|4|1||COMPLETED|00:04:08
12098571_33.batch|batch||4|1|4|1|231672K|COMPLETED|00:04:08
12098571_34|render_blender|plgrid|4|1|4|1||COMPLETED|00:04:27
12098571_34.batch|batch||4|1|4|1|232524K|COMPLETED|00:04:27
12098571_35|render_blender|plgrid|4|1|4|1||COMPLETED|00:05:25
12098571_35.batch|batch||4|1|4|1|232232K|COMPLETED|00:05:25
12098571_36|render_blender|plgrid|4|1|4|1||COMPLETED|00:05:07
12098571_36.batch|batch||4|1|4|1|234056K|COMPLETED|00:05:07
12098571_37|render_blender|plgrid|4|1|4|1||COMPLETED|00:05:23
12098571_37.batch|batch||4|1|4|1|231356K|COMPLETED|00:05:23
12098571_38|render_blender|plgrid|4|1|4|1||COMPLETED|00:05:47
12098571_38.batch|batch||4|1|4|1|231084K|COMPLETED|00:05:47
12098571_39|render_blender|plgrid|4|1|4|1||COMPLETED|00:06:11
12098571_39.batch|batch||4|1|4|1|233968K|COMPLETED|00:06:11
12098571_40|render_blender|plgrid|4|1|4|1||COMPLETED|00:06:33
12098571_40.batch|batch||4|1|4|1|234588K|COMPLETED|00:06:33
12098571_41|render_blender|plgrid|4|1|4|1||COMPLETED|00:07:02
12098571_41.batch|batch||4|1|4|1|233788K|COMPLETED|00:07:02
12098571_42|render_blender|plgrid|4|1|4|1||COMPLETED|00:07:59
